song	tone-analyzer	ibm
Old Town Road - Remix by Lil Nas X feat. Billy Ray Cyrus	Happy :)	
Cool by Jonas Brothers	Sad :(	Happy :), Happy :)
Old Town Road by Lil Nas X	Happy :)	
Shallow by Lady Gaga feat. Bradley Cooper	Sad :(	Happy :), Sad :(, Happy :)
Sucker by Jonas Brothers	Happy :)	Happy :)
God's Country by Blake Shelton	Sad :(	Happy :), Happy :)
Kill This Love by BlackPink	Happy :)	Happy :)
Sunflower - Spider-Man: Into the Spider-Verse by Post Malone feat. Swae Lee	Happy :)	Sad :(, Happy :)
Sweet but Psycho by Ava Max	Sad :(	Happy :)
You Say by Lauren Daigle	Happy :)	Sad :(, Happy :)
